Identification.ID,Is_Hybrid,Engine Information.Engine Type,Year,Driveline,Transmission,Horsepower,Torque,Displacement,Cylinder_Count,Gears_Forward,Height,Length,Width,MPG_CITY,MPG_HWY,Fuel_Type,Make,Model_Year
2010 Chevrolet Silverado 1500 Extended Cab LT 6.2L,TRUE,Chevrolet 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,2010,2,2,403,417,6.2,8 ,6,85,215,237,13,19,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LTZ,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,2,2,315,335,5.3,8 ,6,85,215,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LTZ 6.2L,TRUE,Chevrolet 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,2010,2,2,403,417,6.2,8 ,6,85,215,237,13,19,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab Work Truck 4,TRUE,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,2010,4,2,302,305,4.8,8 ,4,79,215,237,10,13,E85,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab Work Truck 5.3L 4,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,4,2,315,335,5.3,8 ,6,79,215,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LS 4,TRUE,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,2010,4,2,302,305,4.8,8 ,4,79,215,237,13,18,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LT 4,TRUE,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,2010,4,2,302,305,4.8,8 ,4,79,215,237,10,13,E85,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LT 5.3L 4,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,4,2,315,335,5.3,8 ,6,79,215,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LT 6.2L 4,TRUE,Chevrolet 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,2010,4,2,403,417,6.2,8 ,6,79,215,237,9,13,E85,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LTZ 4,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,4,2,315,335,5.3,8 ,6,79,215,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab LTZ  6.2L 4,TRUE,Chevrolet 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,2010,4,2,403,417,6.2,8 ,6,79,215,237,12,19,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab  Long Box Work Truck,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,2,2,315,335,5.3,8 ,6,77,185,237,11,16,E85,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab  Long Box LT,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,2,2,315,335,5.3,8 ,6,77,185,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab Long Box LTZ,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,2,2,315,335,5.3,8 ,6,77,185,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab Long Box Work Truck 4,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,4,2,315,335,5.3,8 ,6,77,185,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab Long Box LT 4,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,4,2,315,335,5.3,8 ,6,77,185,237,11,16,E85,Chevrolet,2010 Chevrolet Silverado 1500
2010 Chevrolet Silverado 1500 Extended Cab Long Box LTZ 4,TRUE,Chevrolet 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,2010,4,2,315,335,5.3,8 ,6,77,185,237,15,21,Gasoline,Chevrolet,2010 Chevrolet Silverado 1500
2011 Chrysler 200 Touring Convertible,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,6,190,83,49,18,29,Gasoline,Chrysler,2011 Chrysler 200 Convertible
2011 Chrysler 200 Limited Convertible,TRUE,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,190,83,49,14,21,E85,Chrysler,2011 Chrysler 200 Convertible
2011 Chrysler 200 S Convertible,TRUE,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,114,58,24,19,29,Gasoline,Chrysler,2011 Chrysler 200 Convertible
2010 Chrysler Sebring LX Convertible,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,205,58,24,20,29,Gasoline,Chrysler,2010 Chrysler Sebring Convertible
2010 Chrysler Sebring Touring Convertible,TRUE,Chrysler 2.7L 6 cylinder 186 hp 191 ft-lbs FFV,2010,1,2,186,191,2.7,6 ,4,205,58,24,13,19,E85,Chrysler,2010 Chrysler Sebring Convertible
2010 Chrysler Sebring Limited Convertible,TRUE,Chrysler 3.5L 6 cylinder 235 hp 232 ft-lbs,2010,1,2,235,232,3.5,6 ,6,205,58,24,16,27,Gasoline,Chrysler,2010 Chrysler Sebring Convertible
2010 Chrysler Sebring Touring Sedan,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,218,233,16,21,30,Gasoline,Chrysler,2010 Chrysler Sebring Sedan
2010 Chrysler Sebring Limited Sedan,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,218,233,16,21,30,Gasoline,Chrysler,2010 Chrysler Sebring Sedan
2010 Chrysler Sebring Limited Sedan 3.5L,TRUE,Chrysler 3.5L 6 cylinder 235 hp 232 ft-lbs,2010,1,2,235,232,3.5,6 ,6,218,233,16,16,27,Gasoline,Chrysler,2010 Chrysler Sebring Sedan
2011 Chrysler 200 LX Sedan,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,4,203,5,49,21,30,Gasoline,Chrysler,2011 Chrysler 200 Sedan
2011 Chrysler 200 Touring Sedan,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,6,203,5,49,20,31,Gasoline,Chrysler,2011 Chrysler 200 Sedan
2011 Chrysler 200 Limited Sedan,TRUE,Chrysler 2.4L 4 cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,6,203,5,49,20,31,Gasoline,Chrysler,2011 Chrysler 200 Sedan
2011 Chrysler 200 S Sedan,TRUE,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,203,5,49,14,21,E85,Chrysler,2011 Chrysler 200 Sedan
2011 Chrysler 300,TRUE,Chrysler 3.6L 6 cylinder 292 hp 260 ft-lbs FFV,2011,2,2,292,260,3.6,6 ,5,203,180,113,18,27,Gasoline,Chrysler,2011 Chrysler 300
2011 Chrysler 300 Limited,TRUE,Chrysler 3.6L 6 cylinder 292 hp 260 ft-lbs FFV,2011,2,2,292,260,3.6,6 ,5,205,180,113,18,27,Gasoline,Chrysler,2011 Chrysler 300
2011 Chrysler 300C 2,TRUE,Chrysler 5.7L 8 cylinder 363 hp 394 ft-lbs,2011,2,2,363,394,5.7,8 ,5,205,180,113,16,25,Gasoline,Chrysler,2011 Chrysler 300
2011 Chrysler 300C 3,TRUE,Chrysler 5.7L 8 cylinder 363 hp 394 ft-lbs,2011,3,2,363,394,5.7,8 ,5,223,180,113,15,23,Gasoline,Chrysler,2011 Chrysler 300
2010 Chrysler 300 Touring,TRUE,Chrysler 2.7L 6 cylinder 178 hp 190 ft-lbs,2010,2,2,178,190,2.7,6 ,4,203,134,90,18,26,Gasoline,Chrysler,2010 Chrysler 300
2010 Chrysler 300 C Hemi,TRUE,Chrysler 5.7L 8 cylinder 360 hp 389 ft-lbs,2010,2,2,360,389,5.7,8 ,5,203,134,90,16,25,Gasoline,Chrysler,2010 Chrysler 300
2010 Chrysler 300 C 3,TRUE,Chrysler 5.7L 8 cylinder 360 hp 389 ft-lbs,2010,3,2,360,389,5.7,8 ,5,203,134,90,16,23,Gasoline,Chrysler,2010 Chrysler 300
2010 Chrysler 300 S V8,TRUE,Chrysler 5.7L 8 cylinder 360 hp 389 ft-lbs,2010,2,2,360,389,5.7,8 ,5,203,134,90,16,25,Gasoline,Chrysler,2010 Chrysler 300
2011 Chrysler Town and Country Touring,TRUE,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,188,31,206,17,25,E85,Chrysler,2011 Chrysler Town and Country
2011 Chrysler Town and Country Touring-L,TRUE,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,188,31,206,17,25,E85,Chrysler,2011 Chrysler Town and Country
2011 Chrysler Town and Country Limited,TRUE,Chrysler 3.6L 6 cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,188,31,206,17,25,E85,Chrysler,2011 Chrysler Town and Country
2010 Chrysler Town and Country LX,TRUE,Chrysler 3.8L 6 cylinder 197hp 230 ft-lbs,2010,1,2,197,230,3.8,6 ,6,214,23,161,16,23,Gasoline,Chrysler,2010 Chrysler Town and Country
2010 Chrysler Town and Country Limited,TRUE,Chrysler 4.0L 6 cylinder 251hp 259 ft-lbs,2010,1,2,251,259,4.0,6 ,6,214,23,161,17,25,Gasoline,Chrysler,2010 Chrysler Town and Country
2010 Chrysler Town and Country Touring,TRUE,Chrysler 3.8L 6 cylinder 197hp 230 ft-lbs,2010,1,2,197,230,3.8,6 ,6,214,23,161,16,23,Gasoline,Chrysler,2010 Chrysler Town and Country
2010 Chrysler Town and Country Touring Plus,TRUE,Chrysler 3.8L 6 cylinder 197hp 230 ft-lbs,2010,1,2,197,230,3.8,6 ,6,214,23,161,16,23,Gasoline,Chrysler,2010 Chrysler Town and Country
2010 Chrysler Town and Country LX Fleet,TRUE,Chrysler 3.3L 6 cylinder 175hp 205 ft-lbs FFV,2010,1,2,175,205,3.3,6 ,4,214,23,161,17,24,Gasoline,Chrysler,2010 Chrysler Town and Country
2010 Chrysler Town and Country Touring 4.0L,TRUE,Chrysler 4.0L 6 cylinder 251hp 259 ft-lbs,2010,1,2,251,259,4.0,6 ,6,214,23,161,17,25,Gasoline,Chrysler,2010 Chrysler Town and Country
2010 Chrysler 300 Touring 3,TRUE,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,2010,3,2,250,250,3.5,6 ,5,203,134,90,17,23,Gasoline,Chrysler Group LLC,2010 Chrysler 300
2010 Chrysler 300 Touring Plus,TRUE,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,2010,2,2,250,250,3.5,6 ,4,203,134,90,17,25,Gasoline,Chrysler Group LLC,2010 Chrysler 300
2010 Chrysler 300 Limited,TRUE,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,2010,2,2,250,250,3.5,6 ,4,203,134,90,17,25,Gasoline,Chrysler Group LLC,2010 Chrysler 300
2010 Chrysler 300 Limited 3,TRUE,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,2010,3,2,250,250,3.5,6 ,5,203,134,90,17,23,Gasoline,Chrysler Group LLC,2010 Chrysler 300
2010 Chrysler 300 S V6,TRUE,Chrysler 3.5L 6 cylinder 250 hp 250 ft-lbs,2010,2,2,250,250,3.5,6 ,4,203,134,90,17,25,Gasoline,Chrysler Group LLC,2010 Chrysler 300
2010 Chrysler 300 SRT8,TRUE,Chrysler 6.1L 8 cylinder 425hp 420 ft-lbs,2010,2,2,425,420,6.1,8 ,5,190,134,90,13,19,Gasoline,Chrysler Group LLC,2010 Chrysler 300
2011 Dodge Avenger Mainstreet,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,6,203,28,57,20,31,Gasoline,Dodge,2011 Dodge Avenger
2011 Dodge Avenger Express,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,4,203,28,57,21,30,Gasoline,Dodge,2011 Dodge Avenger
2011 Dodge Avenger Heat,TRUE,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,203,28,57,19,29,Gasoline,Dodge,2011 Dodge Avenger
2011 Dodge Avenger Lux,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,6,203,28,57,20,31,Gasoline,Dodge,2011 Dodge Avenger
2010 Dodge Avenger SXT,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,216,241,32,21,30,Gasoline,Dodge,2010 Dodge Avenger
2010 Dodge Avenger Express,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,216,241,32,21,30,Gasoline,Dodge,2010 Dodge Avenger
2010 Dodge Avenger R/T,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,216,241,32,21,30,Gasoline,Dodge,2010 Dodge Avenger
2011 Dodge Caliber Express,TRUE,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,2011,1,1,158,141,2.0,4 ,5,254,63,212,24,32,Gasoline,Dodge,2011 Dodge Caliber
2011 Dodge Caliber Heat,TRUE,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,2011,1,1,158,141,2.0,4 ,5,254,63,212,24,32,Gasoline,Dodge,2011 Dodge Caliber
2011 Dodge Caliber Rush,TRUE,Dodge 2.4L 4 Cylinder 172 HP 165 FT-LBS,2011,1,1,172,165,2.4,4 ,5,254,63,212,23,29,Gasoline,Dodge,2011 Dodge Caliber
2010 Dodge Caliber Express,TRUE,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,2010,1,1,158,141,2.0,4 ,5,254,63,212,23,31,Gasoline,Dodge,2010 Dodge Caliber
2010 Dodge Caliber SXT Fleet,TRUE,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,2010,1,1,158,141,2.0,4 ,5,254,63,212,23,31,Gasoline,Dodge,2010 Dodge Caliber
2010 Dodge Caliber Rush,TRUE,Dodge 2.4L 4 Cylinder 172 HP 165 FT-LBS,2010,1,1,172,165,2.4,4 ,5,254,63,212,23,29,Gasoline,Dodge,2010 Dodge Caliber
2010 Dodge Caliber R/T Fleet,TRUE,Dodge 2.4L 4 Cylinder 172 HP 165 FT-LBS,2010,1,1,172,165,2.4,4 ,5,254,63,212,23,29,Gasoline,Dodge,2010 Dodge Caliber
2010 Dodge Caliber Heat,TRUE,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,2010,1,1,158,141,2.0,4 ,5,254,63,212,23,31,Gasoline,Dodge,2010 Dodge Caliber
2010 Dodge Caliber SE Fleet,TRUE,Dodge 2.0L 4 Cylinder 158 hp 141  ft-lbs,2010,1,1,158,141,2.0,4 ,5,254,63,212,23,31,Gasoline,Dodge,2010 Dodge Caliber
2011 Dodge Challenger SE,TRUE,Dodge 3.6L 6 Cylinder 305 hp 268 ft-lbs,2011,2,2,305,268,3.6,6 ,5,170,158,131,18,27,Gasoline,Dodge,2011 Dodge Challenger
2011 Dodge Challenger R/T,TRUE,Dodge 5.7L 8 Cylinder 379 hp 410 ft-lbs,2011,2,1,379,410,5.7,8 ,6,170,158,131,15,24,Gasoline,Dodge,2011 Dodge Challenger
2011 Dodge Challenger SRT8,TRUE,Dodge 6.4L 8 Cylinder 470 hp 470 ft-lbs,2011,2,1,470,470,6.4,8 ,6,170,158,131,14,23,Gasoline,Dodge,2011 Dodge Challenger
2010 Dodge Challenger SE,TRUE,Dodge 3.5L 6 Cylinder 250 hp 250 ft-lbs,2010,2,2,250,250,3.5,6 ,5,170,158,131,17,25,Gasoline,Dodge,2010 Dodge Challenger
2010 Dodge Challenger SRT8,TRUE,Dodge 6.1L 8 Cylinder 425 HP 420 FT-LBS,2010,2,2,425,420,6.1,8 ,5,170,158,131,13,19,Gasoline,Dodge,2010 Dodge Challenger
2010 Dodge Challenger R/T,TRUE,Dodge 5.7L 8 Cylinder 372 hp 400 ft-lbs,2010,2,2,372,400,5.7,8 ,5,170,158,131,16,25,Gasoline,Dodge,2010 Dodge Challenger
2011 Dodge Charger SE,TRUE,Dodge 3.6L 6 Cylinder 292 hp 260 ft-lbs,2011,2,2,292,260,3.6,6 ,5,203,213,113,18,27,Gasoline,Dodge,2011 Dodge Charger
2011 Dodge Charger R/T 3,TRUE,Dodge 5.7L 8 Cylinder 370 hp 395 ft-lbs,2011,3,2,370,395,5.7,8 ,5,203,213,113,16,25,Gasoline,Dodge,2011 Dodge Charger
2011 Dodge Charger R/T,TRUE,Dodge 3.6L 6 Cylinder 292 hp 260 ft-lbs,2011,2,2,292,260,3.6,6 ,5,203,213,113,18,27,Gasoline,Dodge,2011 Dodge Charger
2010 Dodge Charger Rallye,TRUE,Dodge 3.5L 6 Cylinder 250 hp 250 ft-lbs,2010,2,2,250,250,3.5,6 ,4,198,219,100,17,25,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger Rallye 3,TRUE,Dodge 3.5L 6 Cylinder 250 hp 250 ft-lbs,2010,3,2,250,250,3.5,6 ,5,198,219,100,17,23,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger SXT Fleet 3,TRUE,Dodge 3.5L 6 Cylinder 250 hp 250 ft-lbs,2010,3,2,250,250,3.5,6 ,5,198,219,100,17,23,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger SRT8,TRUE,Dodge 6.1L 8 Cylinder 425 HP 420 FT-LBS,2010,2,2,425,420,6.1,8 ,5,186,219,100,13,19,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger RT 3,TRUE,Dodge 5.7L 8 Cylinder 368 hp 395 ft-lbs,2010,3,2,368,395,5.7,8 ,5,198,219,100,16,23,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger RT,TRUE,Dodge 5.7L 8 Cylinder 368 hp 395 ft-lbs,2010,2,2,368,395,5.7,8 ,5,198,219,100,16,25,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger RT Fleet 3,TRUE,Dodge 5.7L 8 Cylinder 368 hp 395 ft-lbs,2010,3,2,368,395,5.7,8 ,5,198,219,100,16,23,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger Fleet,TRUE,Dodge 3.5L 6 Cylinder 250 hp 250 ft-lbs,2010,3,2,250,250,3.5,6 ,5,198,219,100,17,23,Gasoline,Dodge,2010 Dodge Charger
2010 Dodge Charger SXT Fleet,TRUE,Dodge 3.5L 6 Cylinder 250 hp 250 ft-lbs,2010,2,2,250,250,3.5,6 ,4,198,219,100,17,25,Gasoline,Dodge,2010 Dodge Charger
2011 Dodge Durango Express,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,2,2,290,260,3.6,6 ,5,9,211,133,16,23,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Express 3,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,3,2,290,260,3.6,6 ,5,9,211,133,16,22,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Heat 3,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,3,2,290,260,3.6,6 ,5,27,211,133,16,22,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Heat,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,2,2,290,260,3.6,6 ,5,27,211,133,16,23,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Crew,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,2,2,290,260,3.6,6 ,5,9,211,133,16,23,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango R/T,TRUE,Dodge 5.7L 8 Cylinder 360 hp 390 ft-lbs,2011,2,2,360,390,5.7,8 ,5,27,211,133,14,20,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Citadel 3,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,3,2,290,260,3.6,6 ,5,9,211,133,16,22,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Crew 3,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,3,2,290,260,3.6,6 ,5,9,211,133,16,22,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango Citadel,TRUE,Dodge 3.6L 6 Cylinder 290 hp 260 ft-lbs FFV,2011,2,2,290,260,3.6,6 ,5,9,211,133,16,23,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Durango R/T 3,TRUE,Dodge 5.7L 8 Cylinder 360 hp 390 ft-lbs,2011,3,2,360,390,5.7,8 ,5,27,211,133,13,20,Gasoline,Dodge,2011 Dodge Durango
2011 Dodge Grand Caravan Mainstreet,TRUE,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,189,31,207,17,25,Gasoline,Dodge,2011 Dodge Grand Caravan
2011 Dodge Grand Caravan Crew,TRUE,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,189,31,207,17,25,Gasoline,Dodge,2011 Dodge Grand Caravan
2011 Dodge Grand Caravan Express,TRUE,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,189,31,207,17,25,Gasoline,Dodge,2011 Dodge Grand Caravan
2011 Dodge Grand Caravan R/T,TRUE,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,189,31,207,17,25,Gasoline,Dodge,2011 Dodge Grand Caravan
2011 Dodge Grand Caravan Cargo Van,TRUE,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,2011,1,2,283,260,3.6,6 ,6,189,31,207,17,25,Gasoline,Dodge,2011 Dodge Grand Caravan
2010 Dodge Grand Caravan Crew,TRUE,Dodge 4.0L 6 Cylinder 251 hp 259 ft-lbs,2010,1,2,251,259,4.0,6 ,6,22,24,161,17,25,Gasoline,Dodge,2010 Dodge Grand Caravan
2010 Dodge Grand Caravan SXT,TRUE,Dodge 3.8L 6 Cylinder 197 hp 230 ft-lbs,2010,1,2,197,230,3.8,6 ,6,22,24,161,16,23,Gasoline,Dodge,2010 Dodge Grand Caravan
2010 Dodge Grand Caravan Cargo Van,TRUE,Dodge 3.3L 6 Cylinder 175 hp 205 ft-lbs FFV,2010,1,2,175,205,3.3,6 ,4,214,24,161,17,24,Gasoline,Dodge,2010 Dodge Grand Caravan
2010 Dodge Grand Caravan SE,TRUE,Dodge 3.3L 6 Cylinder 175 hp 205 ft-lbs FFV,2010,1,2,175,205,3.3,6 ,4,214,24,161,17,24,Gasoline,Dodge,2010 Dodge Grand Caravan
2010 Dodge Grand Caravan Hero,TRUE,Dodge 3.8L 6 Cylinder 197 hp 230 ft-lbs,2010,1,2,197,230,3.8,6 ,6,22,24,161,16,23,Gasoline,Dodge,2010 Dodge Grand Caravan
2011 Dodge Journey Express,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2011,1,2,173,166,2.4,4 ,4,156,23,42,19,26,Gasoline,Dodge,2011 Dodge Journey
2011 Dodge Journey Crew 3,TRUE,Dodge 3.6L 6 Cylinder 280 hp 260 ft-lbs,2011,3,2,280,260,3.6,6 ,6,186,23,42,16,24,Gasoline,Dodge,2011 Dodge Journey
2011 Dodge Journey Mainstreet 3,TRUE,Dodge 3.6L 6 Cylinder 280 hp 260 ft-lbs,2011,3,2,280,260,3.6,6 ,6,186,23,42,16,24,Gasoline,Dodge,2011 Dodge Journey
2011 Dodge Journey Lux 3,TRUE,Dodge 3.6L 6 Cylinder 280 hp 260 ft-lbs,2011,3,2,280,260,3.6,6 ,6,186,23,42,16,24,Gasoline,Dodge,2011 Dodge Journey
2010 Dodge Journey SE,TRUE,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,2010,1,2,173,166,2.4,4 ,4,166,23,42,19,25,Gasoline,Dodge,2010 Dodge Journey
2010 Dodge Journey R/T Fleet 3,TRUE,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,2010,3,2,235,232,3.5,6 ,6,156,23,42,15,23,Gasoline,Dodge,2010 Dodge Journey
2010 Dodge Journey R/T 3,TRUE,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,2010,3,2,235,232,3.5,6 ,6,156,23,42,15,23,Gasoline,Dodge,2010 Dodge Journey
2010 Dodge Journey SXT 3,TRUE,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,2010,3,2,235,232,3.5,6 ,6,156,23,42,15,23,Gasoline,Dodge,2010 Dodge Journey
2010 Dodge Journey R/T Fleet,TRUE,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,2010,1,2,235,232,3.5,6 ,6,156,23,42,16,24,Gasoline,Dodge,2010 Dodge Journey
2010 Dodge Journey SXT,TRUE,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,2010,1,2,235,232,3.5,6 ,6,229,23,42,16,24,Gasoline,Dodge,2010 Dodge Journey
2010 Dodge Journey R/T,TRUE,Dodge 3.5L 6 Cylinder 235 hp 232 ft-lbs,2010,1,2,235,232,3.5,6 ,6,156,23,42,16,24,Gasoline,Dodge,2010 Dodge Journey
2011 Dodge Nitro Detonator,TRUE,Dodge 4.0L 6 Cylinder 260 HP 265 FT-LBS,2011,2,2,260,265,4.0,6 ,5,255,192,65,16,21,Gasoline,Dodge,2011 Dodge Nitro
2011 Dodge Nitro Detonator 4X4,TRUE,Dodge 4.0L 6 Cylinder 260 HP 265 FT-LBS,2011,4,2,260,265,4.0,6 ,5,255,192,65,16,21,Gasoline,Dodge,2011 Dodge Nitro
2011 Dodge Nitro Shock 4X4,TRUE,Dodge 4.0L 6 Cylinder 260 HP 265 FT-LBS,2011,4,2,260,265,4.0,6 ,5,255,192,65,16,21,Gasoline,Dodge,2011 Dodge Nitro
2011 Dodge Nitro Heat 4X4,TRUE,Dodge 4.0L 6 Cylinder 260 HP 265 FT-LBS,2011,4,2,260,265,4.0,6 ,4,255,192,65,15,21,Gasoline,Dodge,2011 Dodge Nitro
2011 Dodge Nitro Shock,TRUE,Dodge 4.0L 6 Cylinder 260 HP 265 FT-LBS,2011,2,2,260,265,4.0,6 ,5,255,192,65,16,21,Gasoline,Dodge,2011 Dodge Nitro
